queryItem,queryIndex,stringId,ncbiTaxonId,taxonName,preferredName,annotation,gene_set
ABCA13,0,9606.ENSP00000411096,9606,Homo sapiens,ABCA13,ATP binding cassette subfamily A member 13; Belongs to the ABC transporter superfamily.,robust_mrna_strict
ABCA3,1,9606.ENSP00000301732,9606,Homo sapiens,ABCA3,"ATP-binding cassette sub-family A member 3; Plays an important role in the formation of pulmonary surfactant, probably by transporting lipids such as cholesterol; Belongs to the ABC transporter superfamily. ABCA family.",robust_mrna_strict
ACADL,2,9606.ENSP00000233710,9606,Homo sapiens,ACADL,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial; Long-chain specific acyl-CoA dehydrogenase is one of the acyl-CoA dehydrogenases that catalyze the first step of mitochondrial fatty acid beta-oxidation, an aerobic process breaking down fatty acids into acetyl-CoA and allowing the production of energy from fats (By similarity). The first step of fatty acid beta-oxidation consists in the removal of one hydrogen from C-2 and C-3 of the straight-chain fatty acyl-CoA thioester, resulting in the formation of trans-2-enoyl- CoA (By similarity). Among the different mitochondrial acyl [...] ",robust_mrna_strict
ACTG2,3,9606.ENSP00000386857,9606,Homo sapiens,ACTG2,"Actin, gamma-enteric smooth muscle, intermediate form; Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells; Belongs to the actin family.",robust_mrna_strict
ACVRL1,4,9606.ENSP00000373574,9606,Homo sapiens,ACVRL1,"Serine/threonine-protein kinase receptor R3; Type I receptor for TGF-beta family ligands BMP9/GDF2 and BMP10 and important regulator of normal blood vessel development. On ligand binding, forms a receptor complex consisting of two type II and two type I transmembrane serine/threonine kinases. Type II receptors phosphorylate and activate type I receptors which autophosphorylate, then bind and activate SMAD transcriptional regulators. May bind activin as well.",robust_mrna_strict
ADGB,5,9606.ENSP00000381036,9606,Homo sapiens,ADGB,Androglobin.,robust_mrna_strict
ADH7,6,9606.ENSP00000420269,9606,Homo sapiens,ADH7,"All-trans-retinol dehydrogenase [NAD(+)] ADH7; Catalyzes the NAD-dependent oxidation of all-trans-retinol, alcohol, and omega-hydroxy fatty acids and their derivatives. Oxidizes preferentially all trans-retinol, all-trans-4-hydroxyretinol, 9-cis- retinol, 2-hexenol, and long chain omega-hydroxy fatty acids such as juniperic acid. In vitro can also catalyzes the NADH-dependent reduction of all-trans- retinal and aldehydes and their derivatives. Reduces preferentially all trans- retinal, all-trans-4-oxoretinal and hexanal. Catalyzes in the oxidative direction with higher efficiency. Ther [...] ",robust_mrna_strict
AFF3,7,9606.ENSP00000386834,9606,Homo sapiens,AFF3,"AF4/FMR2 family member 3; Putative transcription activator that may function in lymphoid development and oncogenesis. Binds, in vitro, to double- stranded DNA; Belongs to the AF4 family.",robust_mrna_strict
AGBL2,8,9606.ENSP00000435582,9606,Homo sapiens,AGBL2,Cytosolic carboxypeptidase 2; Metallocarboxypeptidase that mediates deglutamylation of target proteins. Catalyzes the deglutamylation of polyglutamate side chains generated by post-translational polyglutamylation in proteins such as tubulins. Also removes gene-encoded polyglutamates from the carboxy-terminus of target proteins such as MYLK. Does not show detyrosinase or deglycylase activities from the carboxy-terminus of tubulin.,robust_mrna_strict
AGER,9,9606.ENSP00000364210,9606,Homo sapiens,AGER,"Advanced glycosylation end product-specific receptor; Mediates interactions of advanced glycosylation end products (AGE). These are nonenzymatically glycosylated proteins which accumulate in vascular tissue in aging and at an accelerated rate in diabetes. Acts as a mediator of both acute and chronic vascular inflammation in conditions such as atherosclerosis and in particular as a complication of diabetes. AGE/RAGE signaling plays an important role in regulating the production/expression of TNF-alpha, oxidative stress, and endothelial dysfunction in type 2 diabetes. Interaction with S1 [...] ",robust_mrna_strict
AK7,10,9606.ENSP00000267584,9606,Homo sapiens,AK7,"Adenylate kinase 7; Nucleoside monophosphate (NMP) kinase that catalyzes the reversible transfer of the terminal phosphate group between nucleoside triphosphates and monophosphates. Has highest activity toward AMP, and weaker activity toward dAMP, CMP and dCMP. Also displays broad nucleoside diphosphate kinase activity. Involved in maintaining ciliary structure and function.",robust_mrna_strict
ALOX15,11,9606.ENSP00000293761,9606,Homo sapiens,ALOX15,Arachidonate 15-lipoxygenase; Non-heme iron-containing dioxygenase that catalyzes the stereo-specific peroxidation of free and esterified polyunsaturated fatty acids generating a spectrum of bioactive lipid mediators. Converts arachidonic acid into 12-hydroperoxyeicosatetraenoic acid/12- HPETE and 15-hydroperoxyeicosatetraenoic acid/15-HPETE. Also converts linoleic acid to 13-hydroperoxyoctadecadienoic acid. May also act on (12S)-hydroperoxyeicosatetraenoic acid/(12S)-HPETE to produce hepoxilin A3. Probably plays an important role in the immune and inflammatory responses. Through the o [...] ,robust_mrna_strict
AMPD1,12,9606.ENSP00000430075,9606,Homo sapiens,AMPD1,AMP deaminase 1; AMP deaminase plays a critical role in energy metabolism; Belongs to the metallo-dependent hydrolases superfamily. Adenosine and AMP deaminases family.,robust_mrna_strict
ANK2,13,9606.ENSP00000349588,9606,Homo sapiens,ANK2,"Ankyrin-2; Plays an essential role in the localization and membrane stabilization of ion transporters and ion channels in several cell types, including cardiomyocytes, as well as in striated muscle cells. In skeletal muscle, required for proper localization of DMD and DCTN4 and for the formation and/or stability of a special subset of microtubules associated with costameres and neuromuscular junctions. In cardiomyocytes, required for coordinate assembly of Na/Ca exchanger, SLC8A1/NCX1, Na/K ATPases ATP1A1 and ATP1A2 and inositol 1,4,5- trisphosphate (InsP3) receptors at sarcoplasmic re [...] ",robust_mrna_strict
ANKRD1,14,9606.ENSP00000360762,9606,Homo sapiens,ANKRD1,Ankyrin repeat domain-containing protein 1; May play an important role in endothelial cell activation. May act as a nuclear transcription factor that negatively regulates the expression of cardiac genes. Induction seems to be correlated with apoptotic cell death in hepatoma cells.,robust_mrna_strict
ARMC3,15,9606.ENSP00000298032,9606,Homo sapiens,ARMC3,Armadillo repeat containing 3.,robust_mrna_strict
ARMC4,16,9606.ENSP00000306410,9606,Homo sapiens,ARMC4,Armadillo repeat-containing protein 4; Ciliary protein that may be involved in a late step of axonemal outer dynein arm assembly.,robust_mrna_strict
ASPN,17,9606.ENSP00000364694,9606,Homo sapiens,ASPN,"Asporin; Negatively regulates periodontal ligament (PDL) differentiation and mineralization to ensure that the PDL is not ossified and to maintain homeostasis of the tooth-supporting system. Inhibits BMP2-induced cytodifferentiation of PDL cells by preventing its binding to BMPR1B/BMP type-1B receptor, resulting in inhibition of BMP-dependent activation of SMAD proteins (By similarity). Critical regulator of TGF-beta in articular cartilage and plays an essential role in cartilage homeostasis and osteoarthritis (OA) pathogenesis. Negatively regulates chondrogenesis in the articular cart [...] ",robust_mrna_strict
BPIFA1,18,9606.ENSP00000346251,9606,Homo sapiens,BPIFA1,"BPI fold-containing family A member 1; Lipid-binding protein which shows high specificity for the surfactant phospholipid dipalmitoylphosphatidylcholine (DPPC). Plays a role in the innate immune responses of the upper airways. Reduces the surface tension in secretions from airway epithelia and inhibits the formation of biofilm by pathogenic Gram-negative bacteria, such as P.aeruginosa and K.pneumoniae. Negatively regulates proteolytic cleavage of SCNN1G, an event that is required for activation of the epithelial sodium channel (ENaC), and thereby contributes to airway surface liquid ho [...] ",robust_mrna_strict
BPIFB1,19,9606.ENSP00000253354,9606,Homo sapiens,BPIFB1,"BPI fold-containing family B member 1; May play a role in innate immunity in mouth, nose and lungs. Binds bacterial lipopolysaccharide (LPS) and modulates the cellular responses to LPS; Belongs to the BPI/LBP/Plunc superfamily. Plunc family.",robust_mrna_strict
BTNL9,20,9606.ENSP00000330200,9606,Homo sapiens,BTNL9,Butyrophilin-like protein 9; Butyrophilin like 9; Belongs to the immunoglobulin superfamily. BTN/MOG family.,robust_mrna_strict
C11ORF70,21,9606.ENSP00000414390,9606,Homo sapiens,CFAP300,Cilia- and flagella-associated protein 300; Cilium- and flagellum-specific protein that plays a role in axonemal structure organization and motility. May play a role in outer and inner dynein arm assembly.,robust_mrna_strict
C11ORF88,22,9606.ENSP00000333845,9606,Homo sapiens,C11ORF88,UPF0722 protein C11orf88.,robust_mrna_strict
C12ORF75,23,9606.ENSP00000448536,9606,Homo sapiens,C12ORF75,Overexpressed in colon carcinoma 1 protein; Chromosome 12 open reading frame 75.,robust_mrna_strict
C1ORF110,24,9606.ENSP00000356886,9606,Homo sapiens,CCDC190,Coiled-coil domain containing 190.,robust_mrna_strict
C1ORF194,25,9606.ENSP00000358965,9606,Homo sapiens,C1ORF194,Protein C1orf194; May play an important role for the maintenance of myelin-axon integrity (By similarity). May affect intracellular Ca(2+) homeostasis.,robust_mrna_strict
C20ORF85,26,9606.ENSP00000360210,9606,Homo sapiens,C20ORF85,Uncharacterized protein C20orf85; Chromosome 20 open reading frame 85.,robust_mrna_strict
C6,27,9606.ENSP00000263413,9606,Homo sapiens,C6,Complement component C6; Constituent of the membrane attack complex (MAC) that plays a key role in the innate and adaptive immune response by forming pores in the plasma membrane of target cells.,robust_mrna_strict
C6ORF118,28,9606.ENSP00000230301,9606,Homo sapiens,C6ORF118,Uncharacterized protein C6orf118; Chromosome 6 open reading frame 118.,robust_mrna_strict
